,1,2,3,4,5,6,7,8,9,10
2011135__star,0,1,0,0,0,0,0,0,0,0
2011136__star,0,0,0,0,0,0,1,0,0,0
2011137__star,0,0,0,0,0,0,1,0,0,0
2011138__star,0,0,0,0,0,0,0,0,0,1
2011139__star,0,0,0,0,1,0,0,0,0,0
2011140__star,1,0,0,0,0,0,0,0,0,0
2011141__star,0,0,0,0,1,0,0,0,0,0
2011142__star,1,0,0,0,0,0,0,0,0,0
2011143__star,0,0,0,0,0,0,0,0,1,0
2011144__star,0,1,0,0,0,0,0,0,0,0
2011145__star,1,0,0,0,0,0,0,0,0,0
2011146__star,0,0,0,0,1,0,0,0,0,0
2011147__star,1,0,0,0,0,0,0,0,0,0
2011148__star,0,0,0,0,0,0,0,1,0,0
2011149__star,1,0,0,0,0,0,0,0,0,0
2011150__star,1,0,0,0,0,0,0,0,0,0
2011151__star,0,0,0,0,1,0,0,0,0,0
2011152__star,0,0,0,0,1,0,0,0,0,0
2011153__star,0,1,0,0,0,0,0,0,0,0
2011154__star,0,0,0,0,0,0,0,1,0,0
2011155__star,0,0,0,1,0,0,0,0,0,0
2011156__star,0,0,0,0,1,0,0,0,0,0
2011157__star,0,1,0,0,0,0,0,0,0,0
2012001__star,0,0,0,0,0,0,0,0,1,0
2012002__star,0,0,0,0,1,0,0,0,0,0
2012003__star,0,0,0,0,0,0,0,1,0,0
2012004__star,0,0,0,1,0,0,0,0,0,0
2012005__star,0,0,0,0,0,0,1,0,0,0
2012006__star,0,0,0,0,0,0,0,1,0,0
2012007__star,0,0,0,0,0,0,0,1,0,0
2012008__star,0,0,0,1,0,0,0,0,0,0
2012009__star,0,0,0,1,0,0,0,0,0,0
2012010__star,0,0,0,0,0,1,0,0,0,0
2012011__star,0,0,0,0,1,0,0,0,0,0
2012012__star,0,0,0,0,0,1,0,0,0,0
2012013__star,0,0,0,0,0,0,0,1,0,0
2012014__star,0,0,0,0,0,0,1,0,0,0
2012015__star,0,0,1,0,0,0,0,0,0,0
2012016__star,0,0,1,0,0,0,0,0,0,0
2012017__star,0,0,1,0,0,0,0,0,0,0
2012018__star,0,0,0,0,0,1,0,0,0,0
2012019__star,0,0,0,0,1,0,0,0,0,0
2012020__star,1,0,0,0,0,0,0,0,0,0
2012021__star,0,0,0,0,0,1,0,0,0,0
2012022__star,0,0,0,0,1,0,0,0,0,0
2012023__star,0,0,0,0,0,0,0,0,0,1
2012024__star,1,0,0,0,0,0,0,0,0,0
2012025__star,1,0,0,0,0,0,0,0,0,0
2012026__star,0,0,0,1,0,0,0,0,0,0
2012027__star,0,0,0,0,0,0,0,1,0,0
