,ball_1,ball_2,ball_3,ball_4,ball_5,star
2009249,17,34,23,40,9,9
2009250,33,18,19,22,23,1
2009251,1,41,13,3,18,1
2009252,3,2,29,48,1,9
2009253,41,47,22,17,7,6
2009254,39,16,47,28,24,9
2009255,20,32,36,19,27,7
2009256,24,20,22,19,1,6
2009257,20,33,46,40,12,6
2009258,13,12,3,37,30,8
2009259,14,33,39,15,11,6
2009260,35,37,41,15,39,4
2009261,12,43,7,23,27,6
2009262,10,47,20,28,21,6
2009263,28,22,7,16,39,7
2009264,20,42,43,33,19,5
2009265,1,31,11,22,23,1
2009266,4,30,13,18,39,1
2009267,46,8,26,13,38,2
2009268,39,15,23,49,30,5
2009269,40,15,16,6,9,6
2009270,38,42,28,3,27,9
2009271,24,44,18,17,15,6
2009272,7,6,41,25,16,5
2009273,23,12,15,27,46,6
2009274,21,39,5,2,15,10
2010001,43,5,23,49,17,4
2010002,33,21,41,18,32,9
2010003,19,49,31,44,38,3
2010004,35,4,14,23,46,7
2010005,24,20,31,36,6,4
2010006,31,4,14,37,7,8
2010007,21,38,32,3,33,10
2010008,8,7,22,28,38,10
2010009,13,37,48,45,28,9
2010010,24,39,2,13,48,1
2010011,6,8,31,45,36,9
2010012,10,15,43,45,5,9
2010013,44,26,18,21,47,3
2010014,29,1,39,40,18,2
2010015,44,48,7,30,13,7
2010016,16,37,18,5,34,5
2010017,36,13,24,7,42,4
2010018,6,45,19,12,11,10
2010019,1,7,38,3,14,5
2010020,48,39,24,8,15,8
2010021,23,40,26,22,29,5
2010022,34,49,36,39,23,8
2010023,41,48,18,11,24,2
2010024,45,2,1,27,31,8
2010025,13,40,2,10,35,1
2010026,19,11,8,48,49,7
2010027,17,37,23,25,2,7
2010028,5,18,26,9,36,9
2010029,23,11,43,49,10,10
2010030,36,13,44,1,48,2
2010031,32,37,16,6,8,7
2010032,18,15,1,4,38,6
2010033,46,1,24,18,9,7
2010034,15,36,28,49,2,3
2010035,44,34,25,47,29,9
2010036,28,9,35,8,42,6
2010037,43,42,9,21,46,6
2010038,2,44,41,34,46,2
2010039,46,28,21,39,49,1
2010040,35,39,20,48,42,2
2010041,17,18,36,21,47,6
2010042,28,11,2,33,43,1
2010043,33,13,49,36,22,4
2010044,4,36,11,31,46,10
2010045,9,12,29,2,21,7
2010046,24,42,16,9,32,3
2010047,44,22,17,38,2,8
2010048,24,26,35,9,1,4
2010049,17,34,27,3,41,4
2010050,29,24,4,46,7,10
2010051,34,49,9,25,38,1
2010052,39,28,3,42,6,5
2010053,8,11,12,26,48,6
2010054,10,30,18,27,4,1
2010055,16,29,31,39,1,2
2010056,41,4,35,33,10,5
2010057,28,22,27,14,23,4
2010058,32,31,44,27,9,8
2010059,9,27,26,29,36,5
2010060,24,12,17,38,30,7
2010061,2,48,40,46,17,10
2010062,8,35,29,12,3,1
2010063,47,3,35,22,6,1
2010064,33,21,49,26,46,1
2010065,46,49,32,5,33,1
2010066,43,11,14,23,17,10
2010067,37,43,31,45,22,5
2010068,29,48,42,28,26,1
2010069,14,48,44,24,20,10
2010070,30,43,48,24,15,7
2010071,15,48,23,49,45,2
2010072,40,48,15,9,3,10
2010073,21,23,19,36,49,4
2010074,45,35,24,37,48,2
2010075,16,27,41,1,35,1
2010076,47,16,11,37,7,10
2010077,41,49,42,19,12,8
2010078,14,44,28,18,17,2
2010079,10,46,2,33,28,8
2010080,39,33,43,22,31,10
2010081,20,47,49,26,31,10
2010082,27,32,12,42,30,7
2010083,47,11,15,24,38,6
2010084,48,30,5,26,11,1
2010085,32,28,47,20,22,6
2010086,27,24,16,10,47,5
2010087,43,45,21,3,9,1
2010088,18,43,16,7,33,5
2010089,4,42,37,23,43,7
2010090,25,37,7,10,47,10
2010091,2,25,44,28,8,4
2010092,16,32,44,38,37,3
2010093,32,8,46,22,9,8
2010094,43,6,46,27,5,7
2010095,7,15,18,8,25,6
2010096,7,22,8,26,5,2
2010097,21,27,9,49,11,5
2010098,13,22,40,28,31,9
2010099,49,43,46,27,23,6
2010100,8,44,14,48,29,7
2010101,49,41,9,28,16,5
2010102,39,49,23,19,36,3
2010103,13,16,18,20,19,2
2010104,22,49,28,3,16,4
2010105,20,39,33,21,16,2
2010106,11,42,9,49,15,3
2010107,29,22,17,19,43,8
2010108,24,47,21,44,13,3
2010109,36,41,45,13,7,5
2010110,33,39,25,43,8,8
2010111,40,1,30,8,38,6
2010112,7,43,33,11,1,1
2010113,1,37,25,45,17,9
2010114,37,38,2,14,17,1
2010115,42,5,12,29,21,2
2010116,15,1,23,22,46,9
2010117,41,32,33,25,26,3
2010118,35,13,16,41,7,1
2010119,7,46,31,29,9,8
2010120,33,6,43,25,37,1
2010121,17,43,23,2,26,3
2010122,9,20,35,4,1,8
2010123,33,22,9,44,25,3
2010124,37,22,46,13,1,9
2010125,1,31,38,26,29,5
2010126,13,24,33,18,11,7
2010127,47,49,9,16,14,7
2010128,4,36,40,10,41,10
2010129,32,13,15,46,3,5
2010130,38,35,4,22,14,5
2010131,17,24,28,1,15,10
2010132,46,33,15,6,49,1
2010133,24,19,35,7,42,3
2010134,35,6,9,14,47,9
2010135,47,48,20,39,16,4
2010136,5,17,25,38,29,2
2010137,33,47,14,20,17,1
2010138,30,38,4,9,46,10
2010139,27,12,11,29,1,2
2010140,4,21,17,23,26,2
2010141,32,20,22,47,14,5
