,ball_1,ball_2,ball_3,ball_4,ball_5,star_1,star_2
20120210,3,14,31,41,8,7,11
20120214,36,14,42,46,27,11,8
20120217,11,4,47,28,38,11,10
20120221,11,24,14,25,29,11,7
20120224,34,3,12,26,7,10,8
20120228,10,48,1,17,33,2,3
20120302,44,5,11,6,30,6,2
20120306,23,47,27,37,24,6,2
20120309,39,36,32,47,3,6,9
20120313,47,1,25,10,43,8,9
20120316,12,4,50,3,23,4,7
20120320,28,30,15,16,46,3,4
20120323,50,15,9,23,31,8,11
20120327,29,36,27,34,24,7,8
20120330,46,17,23,4,36,10,6
20120403,1,8,18,25,30,10,9
20120406,11,35,45,20,30,2,3
20120410,37,27,22,25,36,9,5
20120413,8,39,43,13,26,3,5
20120417,10,28,49,48,33,10,1
20120420,32,41,29,3,6,11,10
20120424,8,24,48,43,9,3,5
20120427,36,43,30,27,20,1,6
20120501,4,15,41,5,19,11,9
20120504,26,41,40,39,3,1,2
20120508,3,34,48,38,21,5,8
20120511,1,17,13,44,38,2,11
20120515,13,2,50,11,26,5,2
20120518,29,50,43,47,13,9,11
20120522,31,32,41,16,37,7,1
20120525,35,12,22,49,46,2,8
20120529,28,17,25,15,8,3,11
20120601,26,2,36,14,4,9,10
20120605,13,49,37,47,34,8,9
20120608,11,22,5,34,40,9,11
20120612,30,26,48,15,8,9,10
20120615,48,38,27,22,10,3,7
20120619,17,20,50,7,35,5,11
20120622,18,14,19,43,49,7,3
20120626,11,22,35,20,1,10,8
20120629,14,17,28,39,29,11,1
20120703,22,7,2,40,27,6,3
20120706,40,42,38,31,32,3,1
20120710,37,1,24,16,3,8,1
20120713,18,46,35,25,8,9,4
20120717,24,2,43,7,46,10,8
20120720,19,23,10,45,49,9,10
20120724,18,25,4,16,44,11,1
20120727,15,48,14,23,21,2,10
20120731,35,39,4,36,29,9,8
20120803,34,35,42,24,46,5,1
20120807,20,50,34,46,27,3,2
20120810,50,21,17,48,11,9,10
20120814,45,16,42,1,38,9,10
20120817,19,25,33,44,28,8,2
20120821,17,5,38,4,48,4,3
20120824,6,5,19,37,12,7,3
20120828,1,26,25,44,18,5,4
20120831,31,28,16,48,33,11,7
20120904,18,39,17,44,11,10,5
20120907,15,35,13,30,42,4,6
20120911,15,6,37,22,44,2,4
20120914,27,10,44,23,3,9,7
20120918,38,7,39,44,6,7,9
20120921,41,4,34,43,19,7,11
20120925,48,25,27,49,7,1,4
20120928,20,26,30,33,23,6,9
20121002,16,42,21,36,4,8,7
20121005,19,16,18,21,9,3,2
20121009,23,8,10,25,2,8,9
20121012,35,7,17,43,6,2,8
20121016,41,10,40,49,32,2,8
20121019,16,40,44,37,29,8,10
20121023,1,35,38,50,28,2,10
20121026,9,5,6,38,27,5,11
20121030,23,44,25,24,31,2,3
20121102,6,10,3,44,11,3,4
20121106,35,25,20,41,7,1,9
20121109,47,28,14,21,22,5,4
20121113,29,11,21,24,16,6,2
20121116,15,19,41,23,10,2,9
20121120,42,28,45,30,49,10,5
20121123,11,20,40,9,1,5,1
20121127,49,44,6,10,23,7,1
20121130,18,23,40,24,10,3,4
20121204,29,5,28,44,10,2,4
20121207,10,18,31,42,16,2,5
20121211,50,4,9,1,43,6,8
20121214,40,29,11,43,10,11,3
20121218,35,14,44,18,20,5,2
20121221,40,5,3,42,22,3,10
20121225,14,20,32,23,18,3,10
20121228,26,49,27,24,17,3,5
20130101,36,49,2,7,8,11,1
20130104,4,10,27,22,41,10,8
20130108,22,26,47,2,20,9,5
20130111,37,22,29,4,41,7,4
20130115,47,42,22,40,38,11,1
20130118,39,26,27,30,4,10,3
20130122,45,10,48,1,44,4,1
20130125,3,10,37,18,31,2,4
20130129,9,16,36,26,39,6,2
20130201,37,5,34,38,21,1,6
20130205,25,6,45,40,31,6,7
20130208,14,44,11,34,9,11,10
20130212,28,25,5,11,16,7,9
20130215,2,4,42,28,22,4,9
20130219,28,30,44,12,15,9,8
20130222,15,37,36,16,28,2,11
20130226,12,13,17,3,30,6,2
20130301,1,11,36,29,42,4,5
20130305,33,31,19,8,39,7,2
20130308,20,42,23,28,3,8,11
20130312,50,4,10,2,22,5,8
20130315,24,14,39,4,21,10,3
20130319,44,32,19,37,35,9,1
20130322,27,32,12,34,49,9,8
20130326,44,30,26,42,4,6,11
20130329,44,30,46,43,13,9,5
20130402,17,12,41,29,25,1,4
20130405,32,1,17,39,11,7,2
20130409,15,44,48,38,35,10,5
20130412,28,45,15,5,10,3,9
20130416,33,50,22,1,11,4,6
20130419,1,46,8,42,48,4,7
20130423,50,4,1,7,10,4,11
20130426,40,38,16,24,11,2,5
20130430,13,50,40,43,36,9,5
20130503,5,49,34,3,40,2,3
20130507,43,27,13,28,42,4,6
20130510,48,35,45,1,32,4,11
20130514,24,7,8,36,27,11,5
20130517,25,24,50,6,20,9,10
20130521,29,19,8,28,7,9,5
20130524,22,17,40,7,27,2,3
20130528,34,38,13,8,26,3,11
20130531,29,43,28,34,27,10,5
20130604,34,33,40,31,37,6,1
20130607,14,26,45,50,7,2,7
20130611,7,9,25,5,41,5,1
20130614,41,25,48,10,47,6,10
20130618,24,33,17,41,44,11,1
20130621,30,11,36,45,10,1,2
20130625,4,13,35,27,5,2,1
20130628,15,1,47,28,35,7,1
20130702,14,13,11,28,30,4,5
20130705,28,4,33,12,15,1,10
20130709,18,16,38,49,31,10,4
20130712,26,42,33,18,32,3,2
20130716,50,34,47,19,23,4,6
20130719,24,35,13,26,16,5,2
20130723,19,14,44,16,15,4,5
20130726,23,38,29,12,49,4,3
20130730,3,14,4,11,43,1,6
20130802,42,36,48,37,21,7,4
20130806,17,47,16,49,31,3,11
20130809,24,4,23,7,9,9,8
20130813,5,20,47,17,50,1,4
20130816,39,20,24,37,27,5,10
20130820,42,11,50,49,5,8,11
20130823,30,37,26,6,1,8,5
20130827,7,40,38,43,30,6,2
20130830,45,25,17,36,2,5,9
20130903,5,18,16,42,9,7,9
20130906,25,11,32,23,37,7,4
20130910,7,28,30,14,11,2,10
20130913,14,27,6,4,33,10,5
20130917,44,17,21,42,13,11,9
20130920,5,11,38,35,45,2,3
20130924,43,20,10,28,26,9,11
20130927,41,15,11,38,43,6,2
20131001,19,44,48,25,23,9,8
20131004,50,35,6,24,20,5,10
20131008,23,24,33,42,26,5,3
20131011,6,17,23,12,43,5,9
20131015,39,18,27,43,47,7,4
20131018,25,36,47,46,5,2,6
20131022,39,33,29,44,41,9,11
20131025,2,31,38,3,10,6,10
20131029,32,9,10,30,37,6,2
20131101,19,33,29,30,7,3,8
20131105,35,38,12,13,6,2,3
20131108,35,20,42,43,28,8,10
20131112,29,48,40,37,14,11,2
20131115,13,42,3,15,29,4,1
20131119,45,14,19,36,15,1,10
20131122,40,26,13,25,50,8,9
20131126,44,27,23,42,19,5,3
20131129,10,23,7,2,43,4,7
20131203,32,6,29,15,13,2,9
20131206,18,31,36,2,1,7,10
20131210,49,50,24,6,35,7,1
20131213,24,22,23,1,31,6,11
20131217,41,6,8,37,27,7,10
20131220,13,22,17,43,12,10,3
20131224,5,31,43,50,19,6,2
20131227,1,22,6,13,28,10,5
20131231,29,45,24,20,13,7,3
20140103,3,44,27,38,31,3,8
20140107,2,45,20,27,33,6,10
20140110,1,27,2,11,29,10,1
20140114,25,18,20,26,37,11,10
20140117,26,19,33,42,32,10,4
20140121,4,42,35,48,12,5,8
20140124,19,41,35,34,5,1,5
20140128,18,23,48,20,42,2,9
20140131,10,15,31,8,16,8,9
20140204,37,1,33,21,38,8,4
20140207,17,19,47,3,46,9,10
20140211,47,25,8,17,41,1,2
20140214,19,39,4,2,6,2,7
20140218,36,37,26,23,49,6,7
20140221,28,13,17,30,32,5,7
20140225,42,21,25,28,35,6,4
20140228,38,44,32,12,43,2,7
20140304,3,22,5,27,44,6,1
20140307,38,10,40,5,41,1,8
20140311,1,4,44,33,23,8,7
20140314,30,24,6,27,25,9,5
20140318,27,36,34,8,39,5,10
20140321,37,7,39,30,42,7,5
20140325,28,50,26,7,20,8,2
20140328,3,43,19,28,4,3,7
20140401,44,38,18,16,26,10,8
20140404,50,45,28,6,10,10,11
20140408,42,11,29,18,49,11,4
20140411,8,33,30,12,19,4,11
