,1,2,3,4,5,6,7,8,9,10,11,12
2007028__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2007028__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2007029__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2007029__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2007030__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2007030__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2007031__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2007031__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2007032__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2007032__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2007033__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2007033__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2007034__star_1,0,1,0,0,0,0,0,0,0,0,0,0
2007034__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2007035__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2007035__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2007036__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2007036__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2007037__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2007037__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2007038__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2007038__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2007039__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2007039__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2007040__star_1,0,0,0,0,1,0,0,0,0,0,0,0
2007040__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2007041__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2007041__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2007042__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2007042__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2007043__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2007043__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2007044__star_1,0,1,0,0,0,0,0,0,0,0,0,0
2007044__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2007045__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2007045__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2007046__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2007046__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2007047__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2007047__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2007048__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2007048__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2007049__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2007049__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2007050__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2007050__star_2,0,0,1,0,0,0,0,0,0,0,0,0
2007051__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2007051__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2007052__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2007052__star_2,0,0,0,0,0,0,1,0,0,0,0,0
2008001__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2008001__star_2,0,0,0,0,1,0,0,0,0,0,0,0
2008002__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2008002__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2008003__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2008003__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2008004__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2008004__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2008005__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2008005__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2008006__star_1,1,0,0,0,0,0,0,0,0,0,0,0
2008006__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2008007__star_1,0,0,0,0,0,0,1,0,0,0,0,0
2008007__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2008008__star_1,0,0,0,0,0,0,0,1,0,0,0,0
2008008__star_2,0,0,0,0,0,0,0,0,1,0,0,0
2008009__star_1,0,0,0,0,0,0,0,0,1,0,0,0
2008009__star_2,0,1,0,0,0,0,0,0,0,0,0,0
2008010__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2008010__star_2,1,0,0,0,0,0,0,0,0,0,0,0
2008011__star_1,0,0,0,1,0,0,0,0,0,0,0,0
2008011__star_2,0,0,0,0,0,0,0,1,0,0,0,0
2008012__star_1,0,0,0,0,0,1,0,0,0,0,0,0
2008012__star_2,0,0,0,1,0,0,0,0,0,0,0,0
2008013__star_1,0,0,1,0,0,0,0,0,0,0,0,0
2008013__star_2,0,0,0,0,0,1,0,0,0,0,0,0
2008014__star_1,0,0,0,0,0,1,0,0,0,0,0,0
